,timestamp, name, memory.used [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.video [MHz],time_elapsed
0,2024-11-26 09:30:15.380, NVIDIA GeForce RTX 3070, 441 MiB,4,6,38,14.76,210,210,405,555,0.0
0,2024-11-26 09:30:16.578, NVIDIA GeForce RTX 3070, 444 MiB,3,9,38,15.51,210,210,405,555,1.198
0,2024-11-26 09:30:17.755, NVIDIA GeForce RTX 3070, 446 MiB,10,14,38,15.21,210,210,405,555,2.375
0,2024-11-26 09:30:18.930, NVIDIA GeForce RTX 3070, 445 MiB,0,28,38,13.79,210,210,405,555,3.55
0,2024-11-26 09:30:20.098, NVIDIA GeForce RTX 3070, 445 MiB,0,15,38,13.34,210,210,405,555,4.718
0,2024-11-26 09:30:21.241, NVIDIA GeForce RTX 3070, 445 MiB,2,17,38,14.51,210,210,405,555,5.861
0,2024-11-26 09:30:22.414, NVIDIA GeForce RTX 3070, 445 MiB,3,5,38,14.5,210,210,405,555,7.034
0,2024-11-26 09:30:23.579, NVIDIA GeForce RTX 3070, 547 MiB,21,2,40,23.06,1725,1725,7000,1515,8.199
0,2024-11-26 09:30:24.729, NVIDIA GeForce RTX 3070, 609 MiB,1,0,40,46.94,1725,1725,7000,1515,9.349
0,2024-11-26 09:30:25.877, NVIDIA GeForce RTX 3070, 633 MiB,4,3,39,41.19,435,435,810,735,10.497
0,2024-11-26 09:30:27.031, NVIDIA GeForce RTX 3070, 694 MiB,1,6,39,19.95,255,255,405,555,11.651
0,2024-11-26 09:30:28.194, NVIDIA GeForce RTX 3070, 759 MiB,2,7,38,14.89,210,210,405,555,12.814
0,2024-11-26 09:30:29.362, NVIDIA GeForce RTX 3070, 814 MiB,17,13,39,14.43,210,210,405,1380,13.982
0,2024-11-26 09:30:30.548, NVIDIA GeForce RTX 3070, 1127 MiB,1,1,40,49.37,1725,1725,7000,1515,15.168
0,2024-11-26 09:30:31.732, NVIDIA GeForce RTX 3070, 1139 MiB,100,49,53,173.48,1815,1815,7000,1590,16.352
0,2024-11-26 09:30:32.906, NVIDIA GeForce RTX 3070, 1139 MiB,100,50,54,220.81,1800,1800,7000,1575,17.526
0,2024-11-26 09:30:34.083, NVIDIA GeForce RTX 3070, 1139 MiB,100,51,56,219.44,1800,1800,7000,1575,18.703
0,2024-11-26 09:30:35.254, NVIDIA GeForce RTX 3070, 1139 MiB,100,50,57,219.7,1800,1800,7000,1575,19.874
0,2024-11-26 09:30:36.421, NVIDIA GeForce RTX 3070, 1139 MiB,100,51,58,219.76,1815,1815,7000,1590,21.041
0,2024-11-26 09:30:37.579, NVIDIA GeForce RTX 3070, 1139 MiB,100,52,59,219.11,1800,1800,7000,1590,22.199
0,2024-11-26 09:30:38.750, NVIDIA GeForce RTX 3070, 1136 MiB,100,51,60,219.44,1785,1785,7000,1560,23.37
0,2024-11-26 09:30:39.906, NVIDIA GeForce RTX 3070, 1136 MiB,100,52,61,219.53,1785,1785,7000,1560,24.526
0,2024-11-26 09:30:41.066, NVIDIA GeForce RTX 3070, 1136 MiB,100,51,61,219.12,1785,1785,7000,1560,25.686
0,2024-11-26 09:30:42.229, NVIDIA GeForce RTX 3070, 1136 MiB,100,51,62,219.84,1785,1785,7000,1560,26.849
0,2024-11-26 09:30:43.423, NVIDIA GeForce RTX 3070, 1131 MiB,100,49,63,219.18,1785,1785,7000,1560,28.043
0,2024-11-26 09:30:44.585, NVIDIA GeForce RTX 3070, 1131 MiB,100,49,64,219.59,1770,1770,7000,1560,29.205
0,2024-11-26 09:30:45.746, NVIDIA GeForce RTX 3070, 1130 MiB,100,51,65,218.66,1770,1770,7000,1560,30.366
0,2024-11-26 09:30:46.917, NVIDIA GeForce RTX 3070, 1130 MiB,100,51,65,218.78,1785,1785,7000,1590,31.537
0,2024-11-26 09:30:48.096, NVIDIA GeForce RTX 3070, 1102 MiB,100,48,66,219.63,1770,1770,7000,1560,32.716
0,2024-11-26 09:30:49.273, NVIDIA GeForce RTX 3070, 1102 MiB,100,50,67,219.64,1770,1770,7000,1560,33.893
0,2024-11-26 09:30:50.452, NVIDIA GeForce RTX 3070, 1102 MiB,100,49,68,219.49,1755,1755,7000,1530,35.072
0,2024-11-26 09:30:51.626, NVIDIA GeForce RTX 3070, 1102 MiB,100,50,68,219.22,1740,1740,7000,1530,36.246
0,2024-11-26 09:30:52.796, NVIDIA GeForce RTX 3070, 1102 MiB,100,51,67,219.44,1875,1875,7000,1665,37.416
0,2024-11-26 09:30:54.038, NVIDIA GeForce RTX 3070, 1102 MiB,99,47,70,214.72,1785,1785,7000,1590,38.658
0,2024-11-26 09:30:55.220, NVIDIA GeForce RTX 3070, 1102 MiB,100,48,70,218.23,1800,1800,7000,1590,39.84
0,2024-11-26 09:30:56.397, NVIDIA GeForce RTX 3070, 1102 MiB,100,47,71,218.53,1815,1815,7000,1590,41.017
0,2024-11-26 09:30:57.573, NVIDIA GeForce RTX 3070, 1102 MiB,100,46,71,217.89,1815,1815,7000,1590,42.193
0,2024-11-26 09:30:58.742, NVIDIA GeForce RTX 3070, 1102 MiB,100,50,72,219.8,1740,1740,7000,1545,43.362
0,2024-11-26 09:30:59.906, NVIDIA GeForce RTX 3070, 1101 MiB,100,50,72,219.34,1755,1755,7000,1545,44.526
0,2024-11-26 09:31:01.069, NVIDIA GeForce RTX 3070, 1101 MiB,100,50,73,219.58,1755,1755,7000,1545,45.689
0,2024-11-26 09:31:02.241, NVIDIA GeForce RTX 3070, 1116 MiB,100,48,73,219.39,1740,1740,7000,1545,46.861
0,2024-11-26 09:31:03.400, NVIDIA GeForce RTX 3070, 1125 MiB,100,50,74,219.09,1740,1740,7000,1530,48.02
0,2024-11-26 09:31:04.570, NVIDIA GeForce RTX 3070, 1142 MiB,100,49,74,215.99,1755,1755,7000,1560,49.19
0,2024-11-26 09:31:05.751, NVIDIA GeForce RTX 3070, 1142 MiB,100,49,75,218.97,1755,1755,7000,1560,50.371
0,2024-11-26 09:31:06.946, NVIDIA GeForce RTX 3070, 1142 MiB,100,50,75,218.96,1755,1755,7000,1530,51.566
0,2024-11-26 09:31:08.120, NVIDIA GeForce RTX 3070, 1127 MiB,100,50,75,219.48,1725,1725,7000,1515,52.74
0,2024-11-26 09:31:09.292, NVIDIA GeForce RTX 3070, 1127 MiB,100,49,75,219.21,1755,1755,7000,1560,53.912
0,2024-11-26 09:31:10.469, NVIDIA GeForce RTX 3070, 1126 MiB,100,49,76,219.46,1755,1755,7000,1515,55.089
0,2024-11-26 09:31:11.641, NVIDIA GeForce RTX 3070, 1125 MiB,100,49,76,219.29,1740,1740,7000,1530,56.261
0,2024-11-26 09:31:12.809, NVIDIA GeForce RTX 3070, 1125 MiB,100,51,77,219.37,1725,1725,7000,1500,57.429
0,2024-11-26 09:31:13.982, NVIDIA GeForce RTX 3070, 1117 MiB,100,49,77,219.42,1710,1710,7000,1515,58.602
0,2024-11-26 09:31:15.159, NVIDIA GeForce RTX 3070, 1117 MiB,100,49,77,219.92,1710,1710,7000,1500,59.779
0,2024-11-26 09:31:16.324, NVIDIA GeForce RTX 3070, 1142 MiB,100,51,77,219.14,1755,1755,7000,1560,60.944
0,2024-11-26 09:31:17.499, NVIDIA GeForce RTX 3070, 1142 MiB,100,51,77,217.97,1725,1725,7000,1530,62.119
0,2024-11-26 09:31:18.704, NVIDIA GeForce RTX 3070, 1142 MiB,100,51,77,218.99,1755,1755,7000,1530,63.324
0,2024-11-26 09:31:19.878, NVIDIA GeForce RTX 3070, 1142 MiB,100,53,77,219.75,1740,1740,7000,1530,64.498
0,2024-11-26 09:31:21.040, NVIDIA GeForce RTX 3070, 1134 MiB,100,53,78,219.71,1725,1725,7000,1515,65.66
0,2024-11-26 09:31:22.218, NVIDIA GeForce RTX 3070, 1134 MiB,100,54,78,219.58,1710,1710,7000,1500,66.838
0,2024-11-26 09:31:23.380, NVIDIA GeForce RTX 3070, 1133 MiB,100,57,78,219.52,1710,1710,7000,1515,68.0
0,2024-11-26 09:31:24.547, NVIDIA GeForce RTX 3070, 1133 MiB,100,57,78,219.38,1710,1710,7000,1500,69.167
0,2024-11-26 09:31:25.719, NVIDIA GeForce RTX 3070, 1133 MiB,100,56,78,219.46,1740,1740,7000,1530,70.339
0,2024-11-26 09:31:26.893, NVIDIA GeForce RTX 3070, 1133 MiB,100,54,78,219.2,1755,1755,7000,1530,71.513
0,2024-11-26 09:31:28.067, NVIDIA GeForce RTX 3070, 1133 MiB,100,55,79,219.43,1725,1725,7000,1530,72.687
0,2024-11-26 09:31:29.268, NVIDIA GeForce RTX 3070, 1133 MiB,100,55,78,219.43,1725,1725,7000,1530,73.888
0,2024-11-26 09:31:30.444, NVIDIA GeForce RTX 3070, 1133 MiB,100,56,79,219.34,1725,1725,7000,1515,75.064
0,2024-11-26 09:31:31.615, NVIDIA GeForce RTX 3070, 1133 MiB,100,56,79,219.38,1725,1725,7000,1515,76.235
0,2024-11-26 09:31:32.782, NVIDIA GeForce RTX 3070, 1133 MiB,100,57,79,218.99,1725,1725,7000,1515,77.402
0,2024-11-26 09:31:33.956, NVIDIA GeForce RTX 3070, 1133 MiB,100,58,79,218.83,1725,1725,7000,1515,78.576
0,2024-11-26 09:31:35.129, NVIDIA GeForce RTX 3070, 1133 MiB,100,57,79,219.74,1740,1740,7000,1545,79.749
0,2024-11-26 09:31:36.305, NVIDIA GeForce RTX 3070, 1133 MiB,100,57,79,219.47,1740,1740,7000,1515,80.925
0,2024-11-26 09:31:37.483, NVIDIA GeForce RTX 3070, 1133 MiB,100,57,79,219.51,1725,1725,7000,1515,82.103
0,2024-11-26 09:31:38.654, NVIDIA GeForce RTX 3070, 1157 MiB,14,6,78,187.4,1770,1770,7000,1560,83.274
0,2024-11-26 09:31:39.817, NVIDIA GeForce RTX 3070, 1153 MiB,100,46,79,218.63,1770,1770,7000,1560,84.437
0,2024-11-26 09:31:41.006, NVIDIA GeForce RTX 3070, 1137 MiB,100,46,80,219.82,1755,1755,7000,1545,85.626
0,2024-11-26 09:31:42.176, NVIDIA GeForce RTX 3070, 1137 MiB,100,46,80,219.4,1755,1755,7000,1545,86.796
0,2024-11-26 09:31:43.337, NVIDIA GeForce RTX 3070, 1137 MiB,100,46,80,219.77,1755,1755,7000,1560,87.957
0,2024-11-26 09:31:44.496, NVIDIA GeForce RTX 3070, 1135 MiB,100,37,80,219.73,1755,1755,7000,1545,89.116
0,2024-11-26 09:31:45.667, NVIDIA GeForce RTX 3070, 1135 MiB,100,37,80,218.98,1755,1755,7000,1545,90.287
0,2024-11-26 09:31:46.834, NVIDIA GeForce RTX 3070, 1135 MiB,100,38,80,219.04,1755,1755,7000,1560,91.454
0,2024-11-26 09:31:48.003, NVIDIA GeForce RTX 3070, 1135 MiB,100,38,80,219.41,1770,1770,7000,1560,92.623
0,2024-11-26 09:31:49.172, NVIDIA GeForce RTX 3070, 1135 MiB,100,38,80,219.64,1755,1755,7000,1545,93.792
0,2024-11-26 09:31:50.335, NVIDIA GeForce RTX 3070, 1135 MiB,100,41,80,219.17,1755,1755,7000,1560,94.955
0,2024-11-26 09:31:51.494, NVIDIA GeForce RTX 3070, 1135 MiB,100,41,81,219.25,1740,1740,7000,1515,96.114
0,2024-11-26 09:31:52.674, NVIDIA GeForce RTX 3070, 1135 MiB,100,40,80,219.75,1740,1740,7000,1545,97.294
0,2024-11-26 09:31:53.872, NVIDIA GeForce RTX 3070, 1135 MiB,100,41,81,219.3,1740,1740,7000,1545,98.492
0,2024-11-26 09:31:55.037, NVIDIA GeForce RTX 3070, 1135 MiB,100,41,81,219.13,1755,1755,7000,1560,99.657
0,2024-11-26 09:31:56.210, NVIDIA GeForce RTX 3070, 1156 MiB,100,47,80,205.98,1725,1725,7000,1515,100.83
0,2024-11-26 09:31:57.379, NVIDIA GeForce RTX 3070, 1148 MiB,100,46,80,218.89,1695,1695,7000,1485,101.999
0,2024-11-26 09:31:58.541, NVIDIA GeForce RTX 3070, 1152 MiB,76,34,80,215.51,1725,1725,7000,1515,103.161
0,2024-11-26 09:31:59.704, NVIDIA GeForce RTX 3070, 1136 MiB,100,45,80,219.65,1725,1725,7000,1515,104.324
0,2024-11-26 09:32:00.859, NVIDIA GeForce RTX 3070, 1136 MiB,100,44,81,219.55,1725,1725,7000,1515,105.479
0,2024-11-26 09:32:02.027, NVIDIA GeForce RTX 3070, 1136 MiB,100,44,81,219.47,1710,1710,7000,1500,106.647
0,2024-11-26 09:32:03.192, NVIDIA GeForce RTX 3070, 1151 MiB,100,44,81,219.48,1710,1710,7000,1500,107.812
0,2024-11-26 09:32:04.357, NVIDIA GeForce RTX 3070, 1137 MiB,100,47,80,219.61,1710,1710,7000,1515,108.977
0,2024-11-26 09:32:05.528, NVIDIA GeForce RTX 3070, 1137 MiB,100,47,80,219.14,1725,1725,7000,1515,110.148
0,2024-11-26 09:32:06.717, NVIDIA GeForce RTX 3070, 1156 MiB,100,46,81,219.35,1755,1755,7000,1545,111.337
0,2024-11-26 09:32:07.893, NVIDIA GeForce RTX 3070, 1156 MiB,100,45,81,219.35,1740,1740,7000,1545,112.513
0,2024-11-26 09:32:09.063, NVIDIA GeForce RTX 3070, 1140 MiB,100,45,81,219.57,1740,1740,7000,1515,113.683
0,2024-11-26 09:32:10.236, NVIDIA GeForce RTX 3070, 1141 MiB,100,47,81,218.35,1740,1740,7000,1515,114.856
0,2024-11-26 09:32:11.430, NVIDIA GeForce RTX 3070, 1145 MiB,100,47,81,215.27,1725,1725,7000,1515,116.05
0,2024-11-26 09:32:12.607, NVIDIA GeForce RTX 3070, 1141 MiB,100,48,81,218.91,1725,1725,7000,1515,117.227
0,2024-11-26 09:32:13.796, NVIDIA GeForce RTX 3070, 1140 MiB,100,47,81,219.55,1725,1725,7000,1515,118.416
0,2024-11-26 09:32:14.954, NVIDIA GeForce RTX 3070, 1155 MiB,100,47,81,219.14,1725,1725,7000,1515,119.574
0,2024-11-26 09:32:16.116, NVIDIA GeForce RTX 3070, 1155 MiB,100,47,81,219.4,1710,1710,7000,1500,120.736
0,2024-11-26 09:32:17.273, NVIDIA GeForce RTX 3070, 1163 MiB,100,45,81,219.13,1740,1740,7000,1545,121.893
0,2024-11-26 09:32:18.435, NVIDIA GeForce RTX 3070, 1153 MiB,100,48,81,219.27,1710,1710,7000,1515,123.055
0,2024-11-26 09:32:19.630, NVIDIA GeForce RTX 3070, 1146 MiB,100,48,81,219.66,1710,1710,7000,1515,124.25
0,2024-11-26 09:32:20.791, NVIDIA GeForce RTX 3070, 1146 MiB,100,48,81,219.65,1710,1710,7000,1515,125.411
0,2024-11-26 09:32:21.962, NVIDIA GeForce RTX 3070, 1146 MiB,100,50,81,219.51,1695,1695,7000,1485,126.582
0,2024-11-26 09:32:23.121, NVIDIA GeForce RTX 3070, 1146 MiB,100,49,81,219.64,1710,1710,7000,1500,127.741
0,2024-11-26 09:32:24.286, NVIDIA GeForce RTX 3070, 1146 MiB,100,49,81,219.78,1695,1695,7000,1500,128.906
0,2024-11-26 09:32:25.445, NVIDIA GeForce RTX 3070, 1146 MiB,100,49,81,219.38,1710,1710,7000,1500,130.065
0,2024-11-26 09:32:26.611, NVIDIA GeForce RTX 3070, 1146 MiB,100,48,81,219.33,1695,1695,7000,1485,131.231
0,2024-11-26 09:32:27.773, NVIDIA GeForce RTX 3070, 1146 MiB,100,47,81,219.06,1710,1710,7000,1515,132.393
0,2024-11-26 09:32:28.931, NVIDIA GeForce RTX 3070, 1146 MiB,100,46,81,219.6,1725,1725,7000,1515,133.551
0,2024-11-26 09:32:30.103, NVIDIA GeForce RTX 3070, 1153 MiB,100,43,82,219.39,1740,1740,7000,1515,134.723
0,2024-11-26 09:32:31.275, NVIDIA GeForce RTX 3070, 1153 MiB,100,43,81,219.46,1725,1725,7000,1515,135.895
0,2024-11-26 09:32:32.471, NVIDIA GeForce RTX 3070, 1153 MiB,100,42,81,219.22,1725,1725,7000,1515,137.091
0,2024-11-26 09:32:33.636, NVIDIA GeForce RTX 3070, 1157 MiB,100,43,82,216.91,1740,1740,7000,1515,138.256
0,2024-11-26 09:32:34.806, NVIDIA GeForce RTX 3070, 1157 MiB,100,45,81,219.1,1710,1710,7000,1500,139.426
0,2024-11-26 09:32:35.967, NVIDIA GeForce RTX 3070, 1157 MiB,100,44,81,219.23,1740,1740,7000,1515,140.587
0,2024-11-26 09:32:37.137, NVIDIA GeForce RTX 3070, 1157 MiB,100,44,82,219.24,1740,1740,7000,1545,141.757
0,2024-11-26 09:32:39.519, NVIDIA GeForce RTX 3070, 1280 MiB,100,42,81,219.43,1755,1755,7000,1560,144.139
0,2024-11-26 09:32:40.713, NVIDIA GeForce RTX 3070, 1333 MiB,100,42,82,216.95,1740,1740,7000,1515,145.333
0,2024-11-26 09:32:41.895, NVIDIA GeForce RTX 3070, 1286 MiB,100,43,82,219.05,1725,1725,7000,1515,146.515
0,2024-11-26 09:32:43.080, NVIDIA GeForce RTX 3070, 1284 MiB,100,42,82,218.74,1710,1710,7000,1500,147.7
0,2024-11-26 09:32:44.259, NVIDIA GeForce RTX 3070, 1284 MiB,100,39,81,219.2,1725,1725,7000,1515,148.879
0,2024-11-26 09:32:45.462, NVIDIA GeForce RTX 3070, 1281 MiB,100,41,82,219.34,1740,1740,7000,1515,150.082
0,2024-11-26 09:32:46.651, NVIDIA GeForce RTX 3070, 1336 MiB,97,47,82,201.2,1740,1740,7000,1545,151.271
0,2024-11-26 09:32:47.828, NVIDIA GeForce RTX 3070, 1323 MiB,100,53,81,219.79,1695,1695,7000,1500,152.448
0,2024-11-26 09:32:49.001, NVIDIA GeForce RTX 3070, 1323 MiB,100,51,81,218.52,1695,1695,7000,1500,153.621
0,2024-11-26 09:32:50.175, NVIDIA GeForce RTX 3070, 1331 MiB,100,51,81,219.04,1710,1710,7000,1500,154.795
0,2024-11-26 09:32:51.342, NVIDIA GeForce RTX 3070, 1323 MiB,100,50,81,219.47,1710,1710,7000,1500,155.962
0,2024-11-26 09:32:52.522, NVIDIA GeForce RTX 3070, 1323 MiB,100,49,82,219.06,1725,1725,7000,1515,157.142
0,2024-11-26 09:32:53.693, NVIDIA GeForce RTX 3070, 1323 MiB,100,47,81,219.29,1710,1725,7000,1515,158.313
0,2024-11-26 09:32:54.867, NVIDIA GeForce RTX 3070, 1323 MiB,100,46,82,219.32,1725,1725,7000,1515,159.487
0,2024-11-26 09:32:56.034, NVIDIA GeForce RTX 3070, 1323 MiB,100,45,82,219.65,1710,1710,7000,1500,160.654
0,2024-11-26 09:32:57.231, NVIDIA GeForce RTX 3070, 1323 MiB,100,45,82,219.67,1740,1740,7000,1515,161.851
0,2024-11-26 09:32:58.409, NVIDIA GeForce RTX 3070, 1452 MiB,100,43,82,219.62,1725,1725,7000,1515,163.029
0,2024-11-26 09:32:59.597, NVIDIA GeForce RTX 3070, 1546 MiB,100,45,82,218.89,1725,1725,7000,1515,164.217
0,2024-11-26 09:33:00.783, NVIDIA GeForce RTX 3070, 1302 MiB,100,44,82,219.15,1695,1695,7000,1485,165.403
0,2024-11-26 09:33:01.959, NVIDIA GeForce RTX 3070, 1300 MiB,100,45,82,218.99,1710,1710,7000,1515,166.579
0,2024-11-26 09:33:03.137, NVIDIA GeForce RTX 3070, 1315 MiB,100,42,79,199.86,1890,1890,7000,1665,167.757
0,2024-11-26 09:33:03.981, NVIDIA GeForce RTX 3070, 1322 MiB,100,46,82,192.75,1725,1725,7000,1515,168.601
0,2024-11-26 09:33:05.148, NVIDIA GeForce RTX 3070, 1289 MiB,100,46,82,218.2,1725,1725,7000,1515,169.768
0,2024-11-26 09:33:06.320, NVIDIA GeForce RTX 3070, 1268 MiB,6,3,74,152.07,1890,1890,7000,1665,170.94
0,2024-11-26 09:33:07.504, NVIDIA GeForce RTX 3070, 1286 MiB,5,2,71,78.33,690,690,5000,930,172.124
0,2024-11-26 09:33:08.654, NVIDIA GeForce RTX 3070, 1286 MiB,13,3,69,40.35,465,465,5000,930,173.274
0,2024-11-26 09:33:09.824, NVIDIA GeForce RTX 3070, 1286 MiB,10,2,68,38.35,330,330,5000,930,174.444
0,2024-11-26 09:33:10.984, NVIDIA GeForce RTX 3070, 1271 MiB,100,47,77,168.66,1755,1755,7000,1530,175.604
0,2024-11-26 09:33:12.163, NVIDIA GeForce RTX 3070, 1271 MiB,100,48,78,219.03,1740,1740,7000,1530,176.783
0,2024-11-26 09:33:13.337, NVIDIA GeForce RTX 3070, 1267 MiB,100,46,79,219.31,1740,1740,7000,1530,177.957
0,2024-11-26 09:33:14.513, NVIDIA GeForce RTX 3070, 936 MiB,92,69,78,206.88,1905,1905,7000,1665,179.133
0,2024-11-26 09:33:15.675, NVIDIA GeForce RTX 3070, 936 MiB,93,70,78,203.92,1905,1905,7000,1665,180.295
0,2024-11-26 09:33:16.836, NVIDIA GeForce RTX 3070, 936 MiB,93,70,78,203.97,1905,1905,7000,1665,181.456
0,2024-11-26 09:33:17.989, NVIDIA GeForce RTX 3070, 936 MiB,93,70,78,204.84,1905,1905,7000,1665,182.609
0,2024-11-26 09:33:19.167, NVIDIA GeForce RTX 3070, 649 MiB,70,53,72,191.2,1905,1905,7000,1665,183.787
0,2024-11-26 09:33:20.321, NVIDIA GeForce RTX 3070, 605 MiB,1,0,70,72.12,1905,1905,7000,1665,184.941
0,2024-11-26 09:33:21.484, NVIDIA GeForce RTX 3070, 608 MiB,2,1,68,55.9,1725,1725,7000,1515,186.104
0,2024-11-26 09:33:22.646, NVIDIA GeForce RTX 3070, 608 MiB,1,0,67,56.64,1725,1725,7000,1515,187.266
